1,0.0516,2.4386,1
2,0.0582,1.7119,0
3,0.0625,1.049,1
4,0.0618,1.233,1
5,0.0587,0.6049,1
6,0.0485,2.8,0
7,0.0511,2.4865,0
8,0.0504,2.5758,0
9,0.0604,1.4487,0
10,0.0621,1.1818,1
11,0.0583,0.5882,1
12,0.053,2.2759,0
13,0.0552,2.0345,0
14,0.0568,1.8667,0
15,0.0571,1.8333,1
16,0.0622,0.875,0
17,0.0624,0.9237,1
18,0.0621,1.1837,0
19,0.0546,0.4762,1
20,0.0509,2.5172,1
21,0.0623,0.8889,0
22,0.0622,1.1463,0
23,0.0542,0.4656,1
24,0.0539,2.1765,1
25,0.0622,1.16,0
26,0.0515,2.4474,0
27,0.0624,0.9237,1
28,0.0602,0.6791,1
29,0.06,0.6667,0
30,0.0617,1.25,1
31,0.0589,0.6108,1
32,0.0621,1.1837,1
33,0.0618,1.2375,1
34,0.0523,2.359,0
35,0.0509,2.5185,0
36,0.0565,1.8966,0
37,0.0509,2.5172,0
38,0.0625,0.9565,0
39,0.0622,0.8804,0
40,0.0617,1.2632,0
41,0.0625,0.9811,0
42,0.061,1.3725,1
43,0.06,0.6688,1
44,0.0622,0.8739,1
45,0.0557,1.98,0
46,0.0542,2.1413,1
47,0.0576,1.7742,0
48,0.0583,0.5882,1
49,0.0564,1.9063,0
50,0.0516,2.4386,1
51,0.0507,2.5313,0
52,0.0478,2.8889,0
53,0.061,0.7349,0
54,0.0617,0.7931,0
55,0.0568,1.8621,0
56,0.0549,2.0698,1
57,0.051,2.5,0
58,0.0567,1.875,0
59,0.0584,0.5909,1
60,0.0613,0.7532,0
61,0.0597,0.652,1
62,0.0493,2.6957,0
63,0.0539,2.1765,1
64,0.0582,1.7143,0
65,0.0621,1.1818,1
66,0.0619,0.8256,0
67,0.0556,2.0,0
68,0.0616,1.2796,1
69,0.0597,0.652,1
70,0.0509,2.5172,1
71,0.0516,2.4382,1
72,0.0618,1.2375,1
73,0.0617,1.25,1
74,0.0623,0.8929,0
75,0.0563,1.9211,0
76,0.0617,1.25,1
77,0.0522,2.3704,0
78,0.0621,1.1818,1
79,0.0569,0.5392,0
80,0.0589,0.6108,1
81,0.0516,2.4375,0
82,0.0622,1.1444,0
83,0.0577,0.5676,1
84,0.061,1.3667,1
85,0.0585,0.5944,1
86,0.0604,1.4444,0
87,0.054,2.1739,1
88,0.0583,0.5886,1
89,0.0598,0.6584,1
90,0.0608,1.4,0
91,0.0582,1.7143,0
92,0.0615,1.2952,1
93,0.0469,3.0,0
94,0.0498,2.6429,0
95,0.0511,2.4872,0
96,0.0605,1.4333,0
97,0.0579,0.5743,1
98,0.0598,0.6584,1
99,0.0545,2.1136,1
100,0.061,1.3725,1
101,0.0613,1.3209,0
102,0.0585,0.5942,0
103,0.0522,2.3636,0
104,0.0509,2.5161,0
105,0.0624,1.1011,1
106,0.0509,2.5172,0
107,0.0551,2.0488,0
108,0.0599,1.5111,1
109,0.0615,1.2952,1
110,0.0598,0.6571,1
111,0.0621,0.8548,0
112,0.0577,0.5672,0
113,0.0569,1.8537,1
114,0.0537,2.2051,1
115,0.0624,1.0984,0
116,0.0617,1.25,0
117,0.0624,0.9145,1
118,0.0617,1.25,1
119,0.0589,1.6333,0
120,0.0573,0.5532,1
121,0.0585,0.5944,1
122,0.0472,2.96,0
123,0.0621,0.8485,0
124,0.0587,0.6049,1
125,0.0563,0.5215,1
126,0.0618,0.8072,0
127,0.0557,1.9868,1
128,0.061,1.3667,1
129,0.0551,2.0455,1
130,0.0564,0.5244,1
131,0.0624,1.0862,0
132,0.061,0.7353,0
133,0.0625,1.028,1
134,0.06,0.6688,1
135,0.061,1.3725,1
136,0.0584,1.6897,0
137,0.0622,0.8772,0
138,0.0605,0.6984,1
139,0.0587,0.6028,1
140,0.0625,1.028,1
141,0.0569,1.8537,1
142,0.0589,0.6122,1
143,0.0576,1.7813,0
144,0.0624,1.1011,1
145,0.0498,2.6429,0
146,0.0617,0.8023,0
147,0.0506,2.5517,0
148,0.0492,2.7143,0
149,0.0596,0.6479,1
150,0.0602,1.4722,0
