1,216.8484,8.5492,0.2262,0.0015,0.9385,0
2,34.7961,3.8151,0.3455,0.0012,0.9917,1
3,105.0798,5.6465,0.3768,0.0091,0.9835,1
4,35.247,3.8537,0.3617,0.0023,0.9826,0
5,178.1529,9.3017,0.1514,0.0011,0.9643,1
6,216.5415,9.7849,0.1669,0.0011,0.9588,1
7,185.8037,8.9011,0.2025,0.0017,0.9651,1
8,310.4875,9.8365,0.2386,0.0024,0.9269,0
9,51.8314,4.5603,0.2895,0.0023,0.9374,0
10,371.007,10.4779,0.2706,0.0032,0.9292,0
11,655.7471,12.9114,0.3088,0.0027,0.9215,0
12,218.5789,9.5782,0.1784,0.0012,0.9623,1
13,112.457,5.6394,0.3942,0.021,0.9852,1
14,424.4462,12.2586,0.1894,0.0015,0.9232,0
15,404.0233,11.2952,0.2143,0.0015,0.9316,0
16,97.9701,6.0844,0.2527,0.0006,0.9803,1
17,219.5525,10.2817,0.1347,0.0009,0.9571,1
18,118.4795,6.3238,0.2649,0.001,0.9773,0
19,22.6207,3.0738,0.3828,0.0022,0.9941,1
20,32.651,3.3492,0.3714,0.0023,0.994,1
21,67.364,5.2192,0.247,0.0019,0.9001,0
22,22.1789,3.0361,0.3665,0.0013,0.9954,1
23,186.3799,8.276,0.2026,0.0005,0.9505,0
24,223.0139,9.9359,0.1607,0.001,0.9592,1
25,23.9383,3.223,0.3626,0.001,0.9922,1
26,107.0638,5.187,0.4439,0.0245,0.9863,1
27,101.7523,5.7469,0.2828,0.002,0.9272,0
28,56.2757,4.4897,0.3142,0.0027,0.924,0
29,378.5662,10.3534,0.2367,0.0029,0.9287,0
30,216.5415,9.7849,0.1669,0.0011,0.9588,1
31,42.922,3.7646,0.373,0.0036,0.9919,1
32,13.8236,2.4796,0.415,0.002,0.9949,0
33,220.5641,10.0079,0.1568,0.0012,0.9591,1
34,283.6861,10.5343,0.1798,0.0007,0.9231,0
35,90.9671,5.7447,0.2562,0.0017,0.9258,0
36,22.1789,3.0361,0.3665,0.0013,0.9954,1
37,257.3056,10.1706,0.141,0.0008,0.9468,0
38,178.4679,9.3064,0.1567,0.0014,0.9632,1
39,167.875,8.342,0.1931,0.001,0.967,1
40,96.592,6.1655,0.2846,0.003,0.9818,1
41,25.284,3.0128,0.4317,0.0054,0.987,0
42,47.0662,4.2071,0.3203,0.003,0.9401,0
43,261.7649,8.7511,0.2506,0.0015,0.8694,0
44,52.5485,4.6108,0.2796,0.0023,0.9261,0
45,81.291,4.7603,0.2951,0.002,0.9833,1
46,84.9585,6.0453,0.2242,0.0015,0.904,0
47,20.6521,2.8458,0.4342,0.0027,0.9936,1
48,25.2002,3.1165,0.4056,0.002,0.9935,1
49,304.7081,11.3222,0.1341,0.0005,0.936,0
50,83.2687,5.1971,0.318,0.0005,0.9875,1
51,166.5795,8.6115,0.1828,0.0015,0.9697,1
52,386.184,11.5872,0.1804,0.0005,0.9418,0
53,303.4789,8.7548,0.2771,0.0029,0.9456,0
54,54.1977,4.5901,0.2863,0.0023,0.9221,0
55,93.7023,5.329,0.3763,0.0063,0.9841,1
56,71.3914,4.8567,0.2721,0.0018,0.9811,1
57,271.5896,10.0764,0.151,0.001,0.9455,0
58,101.2406,5.955,0.2799,0.0005,0.9824,1
59,20.6521,2.8458,0.4342,0.0027,0.9936,1
60,197.5307,8.0537,0.23,0.0015,0.9417,0
61,329.1431,11.5689,0.1394,0.0011,0.9357,0
62,93.0175,5.7112,0.3037,0.0049,0.9162,0
63,103.8204,5.7688,0.3491,0.0078,0.983,1
64,40.3644,3.6864,0.366,0.0036,0.9924,1
65,360.7325,11.5945,0.1508,0.0006,0.9325,0
66,107.5891,5.2218,0.44,0.0239,0.9863,1
67,167.875,8.342,0.1931,0.001,0.967,1
68,369.4076,11.4864,0.1607,0.0016,0.9377,0
69,57.9194,4.8159,0.2777,0.0022,0.9352,0
70,21.3434,2.9826,0.4005,0.0027,0.988,0
71,170.8211,8.9814,0.163,0.0009,0.9634,1
